Location,Measurement,Strength,Uncertainty
1,1,6.3229592826329,3
1,2,5.89675003284188,2
1,3,5.5217994183333,2
2,1,4.02720816430652,2
2,2,3.7497791695324,2
2,3,2.15685750965721,5
3,3,3.05622350512966,2
3,4,2.80689092562319,3
3,5,3.90158190057061,2
4,5,5.2482230344587,2
4,6,3.92962837848413,2
4,7,4.7462730088397,2
5,7,5.59691551453426,2
5,8,5.70249295338007,2
5,9,5.50277326931808,2
6,9,4.90932711252434,3
6,10,7.27900597015908,3
6,11,6.63757159583447,2
7,11,4.88758211139649,2
7,12,5.18527174105263,2
7,13,5.05626499449578,2
8,13,6.42150515153565,2
8,14,7.69489620548839,4
8,15,6.44248535964774,2
