Location,Measurement,Strength,Uncertainty
1,1,5.87635250270487,2
1,2,4.0144739791698,2
1,3,2.73533595830519,3
2,1,3.34627942514927,3
2,2,1.85847777954648,5
2,3,2.46452290374507,4
3,3,5.30827019414891,2
3,4,2.02719069421725,4
3,5,3.46155262849701,2
4,5,5.00421542969102,2
4,6,3.92894394082334,2
4,7,6.26239291105462,4
5,7,5.78384183009672,2
5,8,4.85280561452563,3
5,9,6.23433408371105,2
6,9,5.85423297171225,2
6,10,6.95499813943861,2
6,11,5.38842790086165,2
7,11,6.84157899666234,3
7,12,5.79519109305546,2
7,13,5.03860892623409,2
8,13,6.22402465301133,2
8,14,5.42291111752326,2
8,15,6.47376512686173,2
